organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Aberdeenshire,North,North Monday 1/3,Fetterangus,North Place,"North Place, Fetterangus",,-2.0238940999999997,57.54863559999999,Monday,09:20,09:45,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Monday 1/3,New Leeds,Manse Street,"Manse Street, New Leeds",,-2.0095679,57.5820431,Monday,10:00,10:30,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Monday 1/3,Stuartfield,Playgroup,"Playgroup, Stuartfield",,-2.045951,57.5043374,Monday,11:00,11:30,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Monday 1/3,St Combs,High Street,"High Street, St Combs",,-1.9118764000000001,57.656737,Monday,13:00,14:00,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Monday 1/3,Lonmay,Market Croft,"Market Croft, Lonmay",,-1.9319357,57.6296442,Monday,14:10,14:30,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Monday 1/3,Lonmay Area,Corse Hill Farm,"Corse Hill Farm, Lonmay Area",,-1.98221,57.5740107,Monday,14:40,14:55,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Monday 1/3,Lonmay Area,Corse Farm,"Corse Farm, Lonmay Area",,-1.9843557,57.5722905,Monday,15:00,15:15,FREQ=WEEKLY;INTERVAL=2,2019-01-21,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,New Aberdour,High Street,"High Street, New Aberdour",,-2.1952784999999997,57.65726309999999,Tuesday,09:30,10:00,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,Sandhaven,Clinton Drive,"Clinton Drive, Sandhaven",,-2.0622724,57.695357699999995,Tuesday,10:20,10:35,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,Sandhaven,Roderick Drive,"Roderick Drive, Sandhaven",,-2.0633988999999997,57.6968033,Tuesday,10:40,11:00,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,Rathen,Village,"Village, Rathen",,-1.9997851000000002,57.6374735,Tuesday,11:25,11:45,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,Lonmay,Village,"Village, Lonmay",,-1.9788587,57.621546099999996,Tuesday,11:55,12:15,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,Crimond,Main Street,"Main Street, Crimond",,-1.9091998,57.601053699999994,Tuesday,13:30,13:45,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,St Fergus – Renouard Court,St Fergus – Renouard Court,"St Fergus – Renouard Court, St Fergus – Renouard Court",,-1.8365648,57.5565685,Tuesday,13:55,14:10,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Tuesday 1/3,Burnhaven School,Burnhaven School,"Burnhaven School, Burnhaven School",,-1.7932436,57.4889791,Tuesday,14:30,15:15,FREQ=WEEKLY;INTERVAL=2,2019-01-22,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Cuminestown,Thornhill Road,"Thornhill Road, Cuminestown",,-2.3280734,57.54115089999999,Wednesday,10:25,10:40,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Cuminestown,Plane Trees,"Plane Trees, Cuminestown",,-2.3301147,57.5432362,Wednesday,10:45,11:00,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Cuminestown,Bakery,"Bakery, Cuminestown",,-2.3332331,57.5419507,Wednesday,11:05,11:20,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Cuminestown,High Street,"High Street, Cuminestown",,-2.3312322,57.5423192,Wednesday,11:25,11:40,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Garmond,Main Street (Bottom),"Main Street (Bottom), Garmond",,-2.321731,57.549891,Wednesday,11:50,12:05,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Garmond,Main Street (Top),"Main Street (Top), Garmond",,-2.328711,57.569658,Wednesday,12:10,12:25,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,New Deer,High Street (Chemist),"High Street (Chemist), New Deer",,-2.1934744,57.5128083,Wednesday,13:30,14:00,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,New Deer,Fordyce Road,"Fordyce Road, New Deer",,-2.1898885,57.51410980000001,Wednesday,14:05,14:20,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Maud,Bank Road,"Bank Road, Maud",,-2.1260914,57.51876189999999,Wednesday,14:30,14:45,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Maud,The Haven,"The Haven, Maud",,-2.1274105,57.5219039,Wednesday,14:50,15:10,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Maud,Deer Road,"Deer Road, Maud",,-2.1279214,57.521670400000005,Wednesday,15:15,15:45,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
Aberdeenshire,North,North Wednesday 1/3,Maud,John Morrison Crescent,"John Morrison Crescent, Maud",,-2.128847,57.5223427,Wednesday,15:50,16:10,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.livelifeaberdeenshire.org.uk/media/2808/mobile-north-timetable-160119.pdf
