organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Cambridgeshire,CMOB,C2,Horningsea,High Street,"High Street, Horningsea",CB25 9JG,0.1846228318298485,52.238478872758655,Tuesday,Public,10:00,10:50,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C2,Fen Ditton,Wrights Close,"Wrights Close, Fen Ditton",CB5 8SY,0.16982841969414328,52.22630742466496,Tuesday,Public,11:00,11:15,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C2,Six Mile Bottom,Delamere Close,"Delamere Close, Six Mile Bottom",CB8 0UN,0.3077103383762274,52.187844061951125,Tuesday,Public,11:35,12:00,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C2,West Wratting,High Street,"High Street, West Wratting",CB21 5LU,0.3437054890287362,52.14537451864542,Tuesday,Public,12:15,12:45,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C2,Weston Green,Post Office,"Post Office, Weston Green",CB21 5NT,0.3763730764061843,52.14426971378051,Tuesday,Public,13:50,14:15,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C2,Weston Colville,Mill Hill,"Mill Hill, Weston Colville",CB21 5NY,0.366782235288934,52.15075432263077,Tuesday,Public,14:20,14:50,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C2,Brinkley,High Street,"High Street, Brinkley",CB8 0SF,0.3830374723329136,52.16620625465569,Tuesday,Public,15:00,16:00,FREQ=MONTHLY;BYDAY=1TU,2020-01-07,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Newnham,Pinehurst/Grange Road,"Pinehurst/Grange Road, Newnham",CB3 9BH,0.10223667347828222,52.200877461235656,Wednesday,Public,09:30,10:15,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Newnham,Larchfield/Gough Way,"Larchfield/Gough Way, Newnham",CB3 9LR,0.09832750508963571,52.19914193603515,Wednesday,Public,10:25,11:00,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Newton,The Green,"The Green, Newton",CB22 7PA,0.09867480629514848,52.125030272836746,Wednesday,Public,11:25,12:00,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Thriplow,Middle Street / School Lane,"Middle Street / School Lane, Thriplow",SG8 7RH,0.09768757107733715,52.0998165680104,Wednesday,Public,12:10,12:35,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Thriplow,Sheralds Croft Lane,"Sheralds Croft Lane, Thriplow",SG8 7RB,0.09204298519647297,52.09937988800304,Wednesday,Public,12:40,13:00,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Great Chishill,The Church,"The Church, Great Chishill",SG8 8SR,0.07286053466748887,52.03011431445604,Wednesday,Public,14:10,14:40,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Heydon,Fowlmere Road,"Fowlmere Road, Heydon",SG8 8PZ,0.0850577132468255,52.043098790280816,Wednesday,Public,14:45,15:15,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C3,Fowlmere,High Street,"High Street, Fowlmere",SG8 7SR,0.07502445373050337,52.09279951749561,Wednesday,Public,15:30,16:10,FREQ=MONTHLY;BYDAY=1WE,2020-02-05,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C4,Harlton,Bolton Way,"Bolton Way, Harlton",CB23 1EZ,0.02282431964334653,52.15265746178916,Thursday,Public,10:00,10:20,FREQ=MONTHLY;BYDAY=1TH,2020-02-06,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C4,Harlton,Lay-by,"Lay-by, Harlton",CB23 1ER,0.03180997743986072,52.15269055526969,Thursday,Public,10:25,11:00,FREQ=MONTHLY;BYDAY=1TH,2020-02-06,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C4,Haslingfield,The Meadows,"The Meadows, Haslingfield",CB23 1JD,0.05436525023067801,52.152237104213015,Thursday,Public,11:10,11:40,FREQ=MONTHLY;BYDAY=1TH,2020-02-06,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
Cambridgeshire,CMOB,C4,Haslingfield,Methodist Church,"Methodist Church, Haslingfield",CB23 1JW,0.05236834696241763,52.149969414130915,Thursday,Public,11:45,12:20,FREQ=MONTHLY;BYDAY=1TH,2020-02-06,,,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles/find-a-mobile-library-stop/
