organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Hillingdon,Mobile,Wednesday Week 1,Harlington/Harmondsworth,St Peters Way,"St Peters Way, Harlington",,-0.434726,51.490941,Wednesday,Public,09:30,10:00,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/mobilelibrary
Hillingdon,Mobile,Wednesday Week 1,Harlington/Harmondsworth,Near Harmondworth School,"Near Harmondworth School, School Road, Harlington/Harmondsworth, Harmondsworth",,-0.48081,51.48719,Wednesday,Public,10:15,10:30,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/moblibstop?id=2
Hillingdon,Mobile,Wednesday Week 1,Harlington/Harmondsworth,Zealand Avenue,"Zealand Avenue, Zealand Avenue, Harlington/Harmondsworth, Harmondsworth",,-0.47419,51.48353,Wednesday,Public,10:35,10:55,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/moblibstop?id=3
Hillingdon,Mobile,Wednesday Week 1,Harlington/Harmondsworth,Admiralty Close,"Admiralty Close, Admiralty Close, Harlington/Harmondsworth, West Drayton",,-0.46679,51.50863,Wednesday,Public,11:05,11:35,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/moblibstop?id=4
Hillingdon,Mobile,Wednesday Week 1,Harlington/Harmondsworth,Harmondsworth Square,"Harmondsworth Square, Harmondsworth Square, Harlington/Harmondsworth, Harmondsworth",,-0.47822,51.48917,Wednesday,Public,11:50,12:20,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/moblibstop?id=1
Hillingdon,Mobile,Wednesday Week 1,West Drayton/Sipson,Longford Village,"Longford Village, Bath Road, West Drayton/Sipson, Longford",,-0.48866,51.48178,Wednesday,Public,13:50,14:35,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/moblibstop?id=6
Hillingdon,Mobile,Wednesday Week 1,West Drayton/Sipson,Near Longmead School,"Near Longmead School, Rowan Road, West Drayton/Sipson, West Drayton",,-0.47374,51.49699,Wednesday,Public,14:50,15:40,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/moblibstop?id=7
Hillingdon,Mobile,Wednesday Week 1,West Drayton/Sipson,Com Cafe,"Com Cafe, Byron Way, West Drayton",,-0.466273,51.497106,Wednesday,Public,16:00,16:35,FREQ=WEEKLY;INTERVAL=2,2020-03-04,,,https://archive.hillingdon.gov.uk/mobilelibrary
Hillingdon,Mobile,Wednesday Week 2,Harlington/Harmondsworth,Near New Road,"Near New Road, West End Lane, Harlington/Harmondsworth, Harlington",,-0.43946,51.48519,Wednesday,Public,09:30,10:00,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=5
Hillingdon,Mobile,Wednesday Week 2,Harlington/Harmondsworth,Wimpole Road,"Wimpole Road, West Drayton",,-0.476640,51.511758,Wednesday,Public,10:15,10:55,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=4
Hillingdon,Mobile,Wednesday Week 2,Harlington/Harmondsworth,Admiralty Close,"Admiralty Close, Admiralty Close, Harlington/Harmondsworth, West Drayton",,-0.46679,51.50863,Wednesday,Public,11:05,11:35,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=4
Hillingdon,Mobile,Wednesday Week 2,Harlington/Harmondsworth,Harmondsworth Square,"Harmondsworth Square, Harmondsworth Square, Harlington/Harmondsworth, Harmondsworth",,-0.47822,51.48917,Wednesday,Public,11:50,12:20,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=1
Hillingdon,Mobile,Wednesday Week 2,West Drayton/Sipson,Longford Village,"Longford Village, Bath Road, West Drayton/Sipson, Longford",,-0.48866,51.48178,Wednesday,Public,13:50,14:35,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=6
Hillingdon,Mobile,Wednesday Week 2,West Drayton/Sipson,Near Longmead School,"Near Longmead School, Rowan Road, West Drayton/Sipson, West Drayton",,-0.47374,51.49699,Wednesday,Public,14:50,15:40,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=7
Hillingdon,Mobile,Wednesday Week 2,West Drayton/Sipson,Near Strathean Avenue,"Near Strathean Avenue, Eton Road, West Drayton/Sipson, Harlington",,-0.41973,51.48247,Wednesday,Public,16:00,16:35,FREQ=WEEKLY;INTERVAL=2,2020-03-11,,,https://archive.hillingdon.gov.uk/moblibstop?id=8
Hillingdon,Mobile,Thursday Week 1,Harefield,Harefield Library,"Harefield Library, Harefield",,-0.482867,51.604532,Thursday,Public,09:30,10:15,FREQ=WEEKLY;INTERVAL=2,2020-03-05,,,https://archive.hillingdon.gov.uk/mobilelibrary
Hillingdon,Mobile,Thursday Week 1,Ruislip Garden/South Ruislip,Near Bromley Crescent,"Near Bromley Crescent, Stafford Road, Ruislip Garden/South Ruislip, Ruislip",,-0.41648,51.56204,Thursday,Public,10:30,11:00,FREQ=WEEKLY;INTERVAL=2,2020-03-05,,,https://archive.hillingdon.gov.uk/moblibstop?id=9
Hillingdon,Mobile,Thursday Week 1,Ruislip Garden/South Ruislip,Glebe Avenue,"Glebe Avenue, Glebe Avenue, Ruislip Garden/South Ruislip, Ruislip",,-0.40231,51.55014,Thursday,Public,11:10,11:40,FREQ=WEEKLY;INTERVAL=2,2020-03-05,,,https://archive.hillingdon.gov.uk/moblibstop?id=12
Hillingdon,Mobile,Thursday Week 1,Stockley Park,Busy Bees Nursery,"Busy Bees Nursery, Stockley Park",,-0.453504,51.508805,Thursday,Public,14:00,14:45,FREQ=WEEKLY;INTERVAL=2,2020-03-05,,,https://archive.hillingdon.gov.uk/moblibstop?id=15
Hillingdon,Mobile,Thursday Week 1,Hayes/Yeading,Berwick Avenue/Delamere Road,"Berwick Avenue/Delamere Road, Berwick Avenue/Delamere Road, Hayes/Yeading, Hayes",,-0.38828,51.51647,Thursday,Public,15:05,15:55,FREQ=WEEKLY;INTERVAL=2,2020-03-05,,,https://archive.hillingdon.gov.uk/moblibstop?id=15
