organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
LibrariesNI,Armagh,Armagh Monday 1,,Moss Row Darkley​,Moss Row Darkley​,BT603BG,-6.680857,54.222541,Monday,10:30,10:50,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Monday 1,Cullyhanna​​,St Patrick’s Park,"St Patrick’s Park, Cullyhanna​​",BT350JL,-6.586642,54.130449,Monday,13:00,13:35,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Monday 1,,Loughgilly (A28/B133)​​,Loughgilly (A28/B133)​​,BT602DX,-6.468824,54.273096,Monday,15:20,15:40,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Tuesday 1,Altnamackin​,Fane Valley Park,"Fane Valley Park, Altnamackin​",BT350DD,-6.632729,54.165932,Tuesday,12:10,12:40,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Tuesday 1,,"The Upper Square, Newtownhamilton (The Commons)​​","The Upper Square, Newtownhamilton (The Commons)​​",BT350AA,-6.575973,54.19079,Tuesday,14:25,15:35,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 1,,"Kilmore Park, Richhill, Armagh​","Kilmore Park, Richhill, Armagh​",BT618NQ,-6.54736,54.396526,Wednesday,12:40,13:00,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 1,,"Broomhill Est, Portadown​​","Broomhill Est, Portadown​​",BT624HT,-6.514084,54.390622,Wednesday,13:50,14:15,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 1,"Derryhale, Portadown​​",The Oaks Estate,"The Oaks Estate, Derryhale, Portadown​​",BT624HX,-6.488213,54.397084,Wednesday,14:25,14:40,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 1,Portadown​​,Taylor’s cottage Derryhale,"Taylor’s cottage Derryhale, Portadown​​",BT624HE,-6.482047,54.391454,Wednesday,14:50,15:05,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 1,"Corcrain Dr, Portadown​​",Oaks Fold,"Oaks Fold, Corcrain Dr, Portadown​​",BT624BH,-6.45966,54.425177,Wednesday,15:20,15:55,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Thursday 1,Moy,The Square,"The Square, Moy",BT717SG,-6.692373,54.446725,Thursday,12:50,15:25,FREQ=WEEKLY;INTERVAL=2,2019-04-11,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Friday 1,Main Street,Old Primary School Carpark,"Old Primary School Carpark, Main Street, Benburb​",BT717LA,-6.743172,54.411894,Friday,13:30,13:45,FREQ=WEEKLY;INTERVAL=2,2019-04-12,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Friday 1,Blackwatertown​,Main Street,"Main Street, Blackwatertown​",BT717HJ,-6.701161,54.413102,Friday,13:55,14:30,FREQ=WEEKLY;INTERVAL=2,2019-04-12,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Friday 1,Milltown,Tyrone View,"Tyrone View, Milltown",BT717LY,-6.765329,54.407523,Friday,14:45,15:00,FREQ=WEEKLY;INTERVAL=2,2019-04-12,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Friday 1,Carrickaness,"McCartan’s Crossroads,  Milltown Rd","McCartan’s Crossroads,  Milltown Rd, Carrickaness",BT717HJ,-6.701161,54.413102,Friday,15:10,15:30,FREQ=WEEKLY;INTERVAL=2,2019-04-12,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Friday 1,Tullysaran,​Edenderry Drive,"​Edenderry Drive, Tullysaran, Armagh",BT717TX,-6.738076,54.390737,Friday,15:40,16:00,FREQ=WEEKLY;INTERVAL=2,2019-04-12,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Monday 2,,​​Whitecross (Ardmore Pk),​​Whitecross (Ardmore Pk),BT602TJ,-6.486735,54.221669,Monday,14:35,15:00,FREQ=WEEKLY;INTERVAL=2,2019-04-15,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Monday 2,Glennanne,​Mossfield,"​Mossfield, Glennanne",BT602JF,-6.503531,54.240118,Monday,15:10,15:40,FREQ=WEEKLY;INTERVAL=2,2019-04-15,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Tuesday 2,Caledon,Castle Drive,"Castle Drive, Caledon",BT684UB,-6.83906,54.352203,Tuesday,12:30,12:45,FREQ=WEEKLY;INTERVAL=2,2019-04-16,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Tuesday 2,Caledon,Main Street,"Main Street, Caledon",BT684TZ,-6.837585,54.351074,Tuesday,12:50,13:05,FREQ=WEEKLY;INTERVAL=2,2019-04-16,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Tuesday 2,Tynan,​Main Street,"​Main Street, Tynan",BT604QP,-6.821821,54.329566,Tuesday,14:55,15:15,FREQ=WEEKLY;INTERVAL=2,2019-04-16,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Tuesday 2,Killylea Village​,Main Street,"Main Street, Killylea Village​",BT604LS,-6.777672,54.346682,Tuesday,15:25,15:40,FREQ=WEEKLY;INTERVAL=2,2019-04-16,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 2,Madden,​Riverdale Park,"​Riverdale Park, Madden",BT603NH,-6.74385,54.286859,Wednesday,10:35,11:00,FREQ=WEEKLY;INTERVAL=2,2019-04-17,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 2,,Middletown village​,Middletown village​,BT604JF,-6.844905,54.292425,Wednesday,12:55,13:35,FREQ=WEEKLY;INTERVAL=2,2019-04-17,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Wednesday 2,Milford​,Linen Green,"Linen Green, Milford​",BT603RF,-6.680266,54.332287,Wednesday,14:55,15:30,FREQ=WEEKLY;INTERVAL=2,2019-04-17,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Thursday 2,,"Markethill Newry Street (facing & as close to roundabout)","Markethill Newry Street (facing & as close to roundabout)",BT601PL,-6.520868,54.298723,Thursday,11:15,12:15,FREQ=WEEKLY;INTERVAL=2,2019-04-18,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Thursday 2,Newry St,​Markethill Health Centre,"​Markethill Health Centre, Newry St, Markethill",BT601TA,-6.519378,54.296584,Thursday,12:50,14:00,FREQ=WEEKLY;INTERVAL=2,2019-04-18,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Armagh,Armagh Thursday 2,,​Hamiltonsbawn Main Street,​Hamiltonsbawn Main Street,BT601LP,-6.543767,54.341471,Thursday,15:00,15:25,FREQ=WEEKLY;INTERVAL=2,2019-04-18,,https://www.librariesni.org.uk/Libraries/Pages/Armagh-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Monday 1,Dunloy,Main Street,"Main Street, Dunloy",BT449AA,-6.411964,55.01156,Monday,15:00,16:00,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Tuesday 1,Upperlands,Alexander Park,"Alexander Park, Upperlands",BT465SR,-6.633586,54.878036,Tuesday,12:10,12:30,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Tuesday 1,Desertmartin,Station Rd,"Station Rd, Desertmartin",BT455PD,-6.674896,54.770466,Tuesday,13:45,14:15,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Tuesday 1,Desertmartin,Main Street,"Main Street, Desertmartin",BT455LW,-6.672571,54.769336,Tuesday,14:20,14:40,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Tuesday 1,Grange,Moorlands Estate,"Moorlands Estate, Grange, Toome",BT413RN,-6.395371,54.795811,Tuesday,15:15,16:00,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Wednesday 1,Cullybackey,​Kilmakevitt Estate,"​Kilmakevitt Estate, Cullybackey",BT421NJ,-6.353953,54.890505,Wednesday,12:30,13:15,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Wednesday 1,Ahoghill,Cullybackey Link Carpark,"Cullybackey Link Carpark, Ahoghill",BT421LA,-6.365883,54.853382,Wednesday,14:30,15:30,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Wednesday 1,Galgorm,Fenaghy Park,"Fenaghy Park, Galgorm, Ballymena",BT421JT,-6.32311,54.861235,Wednesday,15:40,16:00,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Wednesday 1,Ballymena,Carnhill Estate,"Carnhill Estate, Ballymena",BT435LF,-6.301823,54.879662,Wednesday,16:10,16:30,FREQ=WEEKLY;INTERVAL=2,2019-04-10,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Friday 1,Toome,Spar on Main Street,"Spar on Main Street, Toome",BT413NJ,-6.460101,54.75165,Friday,13:00,14:00,FREQ=WEEKLY;INTERVAL=2,2019-04-12,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Monday 2,"Main St,Toome",Spar ,"Spar , Main St,Toome",BT458HS,-6.518097,54.808602,Monday,13:00,14:00,FREQ=WEEKLY;INTERVAL=2,2019-04-15,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Tuesday 2,Main Street,Bellaghy Village,"Bellaghy Village, Main Street",BT458HT,-6.519757,54.807877,Tuesday,13:30,14:30,FREQ=WEEKLY;INTERVAL=2,2019-04-16,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Tuesday 2,Castledawson,Riverside Gdns,"Riverside Gdns, Castledawson",BT458BG,-6.550416,54.776076,Tuesday,14:45,15:45,FREQ=WEEKLY;INTERVAL=2,2019-04-16,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Wednesday 2,Martinstown,Lignamonagh Court,"Lignamonagh Court, Martinstown",BT436QN,-6.224371,54.96596,Wednesday,15:00,15:30,FREQ=WEEKLY;INTERVAL=2,2019-04-17,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Wednesday 2,Martinstown,The old Mart,"The old Mart, Martinstown",BT436WH,-6.228605,54.960928,Wednesday,15:30,16:15,FREQ=WEEKLY;INTERVAL=2,2019-04-17,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Thursday 2,Glenarm,Altmore Street,"Altmore Street, Glenarm",BT440AR,-5.953639,54.965414,Thursday,14:45,15:15,FREQ=WEEKLY;INTERVAL=2,2019-04-18,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Thursday 2,Glenarm,Channel Vista,"Channel Vista, Glenarm",BT440AG,-5.959625,54.970555,Thursday,15:20,15:45,FREQ=WEEKLY;INTERVAL=2,2019-04-18,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Friday 2,Cloughmills,Main Street,"Main Street, Cloughmills",BT449LF,-6.330208,54.997223,Friday,12:30,13:00,FREQ=WEEKLY;INTERVAL=2,2019-04-19,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Ballymena,Ballymena Friday 2,Main Street,Clough Village,"Clough Village, Main Street",BT449RJ,-6.289291,54.966136,Friday,15:00,15:30,FREQ=WEEKLY;INTERVAL=2,2019-04-19,,https://www.librariesni.org.uk/Libraries/Pages/Ballymena-Mobile.aspx
LibrariesNI,Bangor,Bangor Monday 1,,Greyabbey,Greyabbey,BT222QA,-5.561234,54.53444,Monday,12:30,13:00,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Mobile.aspx
LibrariesNI,Bangor,Bangor Monday 1,Newtownards,Scrabo Fold,"Scrabo Fold, Newtownards",BT234FW,-5.70794,54.588591,Monday,14:30,14:50,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Mobile.aspx
LibrariesNI,Bangor,Bangor Monday 1,Newtownards,Scrabo Manor,"Scrabo Manor, Newtownards",BT234GR,-5.710934,54.586248,Monday,15:10,15:30,FREQ=WEEKLY;INTERVAL=2,2019-04-08,,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Mobile.aspx
LibrariesNI,Bangor,Bangor Tuesday 1,,Lisbane OS,Lisbane OS,BT236AJ,-5.713898,54.504581,Tuesday,10:10,10:30,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Mobile.aspx
LibrariesNI,Bangor,Bangor Tuesday 1,,Thorney Glen,Thorney Glen,BT309NJ,-5.736878,54.450875,Tuesday,11:50,12:20,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Mobile.aspx
LibrariesNI,Bangor,Bangor Tuesday 1,Killinchy,Whiterock,"Whiterock, Killinchy",BT236QA,-5.649751,54.482135,Tuesday,12:40,13:10,FREQ=WEEKLY;INTERVAL=2,2019-04-09,,https://www.librariesni.org.uk/Libraries/Pages/Bangor-Mobile.aspx
