WKT,destination_stop,destination_stop_latitude,destination_stop_longitude,distance,duration,mobile,origin_stop,origin_stop_latitude,origin_stop_longitude,route
"LINESTRING (-2.999991 55.904113,-2.998496 55.90441,-2.998739 55.904811,-2.997229 55.905035,-2.99692 55.905062,-2.996593 55.905024,-2.996299 55.904987,-2.995868 55.904966,-2.995571 55.904977)",Cousland 2,"55.9050879","-2.99558379999996",348.8,30.2,Mobile,Cousland 1,"55.9040978","-2.99998140000002",Week 1 Friday
"LINESTRING (-2.995571 55.904977,-2.995868 55.904966,-2.996299 55.904987,-2.996593 55.905024,-2.99692 55.905062,-2.997229 55.905035,-2.998739 55.904811,-2.998496 55.90441,-2.998084 55.903733,-2.99791 55.903446,-2.997774 55.903202,-2.998342 55.903094,-2.998437 55.90325,-2.998723 55.903722)",Cousland 3,"55.903725","-2.9987059",502.8,56.4,Mobile,Cousland 2,"55.9050879","-2.99558379999996",Week 1 Friday
"LINESTRING (-2.998723 55.903722,-2.998437 55.90325,-2.998342 55.903094,-2.997774 55.903202,-2.99791 55.903446,-2.998084 55.903733,-2.998496 55.90441,-2.998739 55.904811,-2.997229 55.905035,-2.99692 55.905062,-2.996593 55.905024,-2.996299 55.904987,-2.995868 55.904966,-2.99537 55.904984,-2.995131 55.905012,-2.993647 55.905316,-2.992312 55.90551,-2.99163 55.905546,-2.990898 55.905566,-2.990283 55.905608,-2.989639 55.905698,-2.988044 55.906055,-2.987682 55.906185,-2.987351 55.906339,-2.98696 55.906491,-2.986435 55.906635,-2.985589 55.906905,-2.984849 55.907168,-2.983872 55.90757,-2.983472 55.907688,-2.983268 55.907723,-2.983032 55.907743,-2.981991 55.907747,-2.981647 55.907729,-2.981433 55.90769,-2.980752 55.907493,-2.980355 55.907296,-2.980099 55.907136,-2.979969 55.907084,-2.979367 55.906905,-2.977232 55.905863,-2.977117 55.905845,-2.976955 55.905866,-2.975535 55.906322,-2.975432 55.90634,-2.9753 55.90633,-2.975175 55.906293,-2.974907 55.90615,-2.974235 55.905717,-2.968185 55.901716,-2.969301 55.900977,-2.970551 55.90014,-2.97141 55.899539,-2.972014 55.899076,-2.972137 55.898952,-2.972245 55.898585,-2.972909 55.896341,-2.972932 55.896155,-2.972896 55.896089,-2.972771 55.896014,-2.971699 55.89571,-2.971134 55.895619,-2.97088 55.895618,-2.969664 55.895683,-2.968806 55.895675,-2.967451 55.89569,-2.967007 55.895711,-2.966329 55.895768,-2.966203 55.895766,-2.966039 55.895736,-2.965436 55.895485,-2.965101 55.895257,-2.964382 55.895388,-2.963411 55.895497,-2.963277 55.89551,-2.963011 55.89552,-2.962614 55.89554,-2.960951 55.895498,-2.957809 55.895481,-2.956884 55.895515,-2.956176 55.895582,-2.955513 55.895684,-2.954967 55.89581,-2.954344 55.896003,-2.953692 55.896268,-2.953017 55.896631,-2.952484 55.896978,-2.951747 55.897524,-2.949167 55.896557,-2.947977 55.896345,-2.947706 55.896296,-2.946274 55.896383,-2.946054 55.896397,-2.945774 55.89636,-2.943754 55.896037,-2.943056 55.895748,-2.94199 55.894904,-2.941549 55.894471,-2.941233 55.894314,-2.940847 55.8942,-2.940136 55.894108,-2.939848 55.893999,-2.93963 55.893855,-2.939321 55.893376,-2.939233 55.892966,-2.939458 55.892564,-2.939439 55.892381,-2.939216 55.892167,-2.93905 55.892008,-2.938654 55.891629,-2.937948 55.89126,-2.937571 55.891024,-2.937242 55.89083,-2.93683 55.890623,-2.929237 55.887752,-2.928722 55.88736,-2.92769 55.885978,-2.927656 55.885897,-2.92762 55.884846,-2.926591 55.88297,-2.925194 55.880929,-2.924724 55.880359,-2.924091 55.87994,-2.923237 55.879474,-2.922401 55.879095,-2.920343 55.878352,-2.917807 55.877363,-2.917035 55.87726,-2.916374 55.87728,-2.915675 55.877445,-2.91494 55.877961,-2.914573 55.878002,-2.912037 55.877404,-2.907148 55.875198,-2.905694 55.874436,-2.904576 55.873878,-2.898328 55.870889,-2.89504 55.870101,-2.89208 55.869321,-2.89126 55.868971,-2.88999 55.867921,-2.889838 55.867795,-2.888022 55.867257,-2.886314 55.86641,-2.886042 55.866321,-2.885807 55.866303,-2.885544 55.866313,-2.885079 55.866418,-2.885007 55.866429,-2.884776 55.866466,-2.884585 55.866461,-2.88348 55.866145,-2.883001 55.866074,-2.882104 55.866015,-2.881942 55.865974,-2.88167 55.865876,-2.881241 55.865623,-2.880942 55.865547,-2.880691 55.865572,-2.880437 55.865641,-2.879876 55.86589,-2.879635 55.865949,-2.879258 55.865985,-2.87888 55.865937,-2.877294 55.865611,-2.876672 55.865282,-2.876506 55.864998,-2.876468 55.864594,-2.876505 55.864045,-2.876316 55.863856,-2.875339 55.863217,-2.874393 55.862326,-2.873886 55.861929,-2.873297 55.861549,-2.872494 55.861085,-2.871848 55.860783,-2.870189 55.860143,-2.86957 55.859773,-2.868632 55.859099,-2.868234 55.858575,-2.868024 55.858419,-2.867518 55.858159,-2.866998 55.857809,-2.866382 55.857358,-2.866164 55.85723,-2.86615 55.857226,-2.865701 55.857105,-2.865251 55.856983,-2.865039 55.856791,-2.864918 55.856638,-2.864838 55.856492,-2.864785 55.856208,-2.864833 55.856062,-2.864937 55.855915,-2.865208 55.855628,-2.865468 55.855094,-2.86559 55.854852,-2.865841 55.854511,-2.866074 55.854387,-2.866318 55.854279,-2.86668 55.854155,-2.86707 55.85405,-2.867405 55.85398,-2.86778 55.853925,-2.867966 55.853899,-2.868011 55.854157,-2.867431 55.854166,-2.86741 55.854167)",Humbie,"55.854323","-2.86743999999999",12932.5,946.4,Mobile,Cousland 3,"55.903725","-2.9987059",Week 1 Friday
"LINESTRING (-2.86741 55.854167,-2.867431 55.854166,-2.868011 55.854157,-2.867966 55.853899,-2.868748 55.853806,-2.869162 55.853725,-2.869561 55.853612,-2.870033 55.853456,-2.870512 55.85319,-2.870713 55.853061,-2.871014 55.852804,-2.871601 55.852011,-2.872134 55.851248,-2.872774 55.850424,-2.873148 55.850005,-2.873474 55.849847,-2.874354 55.849492,-2.876068 55.848881,-2.876289 55.848769,-2.876342 55.848634,-2.876242 55.848499,-2.875574 55.848029,-2.871837 55.84518,-2.871402 55.844851,-2.871811 55.844702,-2.873585 55.843931,-2.876101 55.843403,-2.877781 55.842859,-2.878283 55.842763,-2.878528 55.842916,-2.879088 55.843428,-2.879556 55.843576,-2.880056 55.843591,-2.88118 55.843335,-2.885393 55.842283,-2.886384 55.842063,-2.888677 55.84153,-2.892977 55.840521,-2.893163 55.840461,-2.893349 55.840388,-2.893879 55.840022,-2.894571 55.839625,-2.895168 55.839332,-2.895453 55.839237,-2.895682 55.839169,-2.896074 55.839072,-2.897282 55.838842,-2.897764 55.838785,-2.898273 55.838757,-2.898442 55.838746,-2.898564 55.838728,-2.898637 55.838708,-2.898679 55.838697,-2.899187 55.838502,-2.899334 55.838431,-2.899396 55.838397,-2.899545 55.838316,-2.900325 55.837893,-2.900364 55.837839,-2.900379 55.837789,-2.900365 55.837687,-2.900501 55.837736,-2.90057 55.83776,-2.901298 55.837996,-2.901404 55.838031,-2.901644 55.838111,-2.901962 55.838215,-2.902131 55.838259,-2.902263 55.838293,-2.902569 55.838366,-2.903264 55.838505,-2.903664 55.838569,-2.904549 55.838678,-2.905528 55.838758,-2.9066 55.838806,-2.907337 55.838801,-2.908185 55.838736,-2.908867 55.838643,-2.910658 55.838329,-2.910999 55.838283,-2.911431 55.83825,-2.911752 55.838249,-2.912079 55.83827,-2.914253 55.838503,-2.91494 55.838598,-2.91528 55.838697,-2.915739 55.838927,-2.917282 55.839818,-2.921574 55.842345,-2.923015 55.843199,-2.923826 55.843676,-2.925139 55.844455,-2.925541 55.844672,-2.925726 55.844755,-2.925785 55.844782,-2.925932 55.844846,-2.926178 55.844939,-2.926351 55.845005,-2.926998 55.845218,-2.927577 55.845372,-2.928769 55.845603,-2.928894 55.845628,-2.929187 55.845688,-2.929402 55.845743,-2.929745 55.845845,-2.930026 55.84593,-2.931191 55.846346,-2.931858 55.846608,-2.932397 55.84686,-2.932635 55.846989,-2.934084 55.847884,-2.934883 55.848337,-2.935065 55.848425,-2.935208 55.848494,-2.93555 55.848646,-2.936661 55.849102,-2.940183 55.850526,-2.940937 55.850879,-2.941047 55.850941,-2.941212 55.851033,-2.941371 55.851131,-2.941757 55.851384,-2.942074 55.851621,-2.942125 55.85166,-2.942253 55.851767,-2.942746 55.852175,-2.943314 55.852611,-2.943436 55.852692,-2.943504 55.852736,-2.944174 55.853127,-2.944491 55.853285,-2.946423 55.854107,-2.946589 55.854183,-2.946796 55.854275,-2.948711 55.855313,-2.9489 55.855419,-2.949015 55.855484,-2.950306 55.856187,-2.953883 55.858168,-2.954095 55.858286,-2.954721 55.858631,-2.955194 55.858893,-2.955604 55.859123,-2.955685 55.859175,-2.955782 55.859237,-2.955942 55.859357,-2.95611 55.859484,-2.957271 55.860336,-2.958669 55.861469,-2.958994 55.861702,-2.959249 55.86185,-2.959784 55.862101,-2.96023 55.862271,-2.960582 55.86238,-2.960925 55.862481,-2.961104 55.862534,-2.961527 55.862659,-2.96193 55.862785,-2.962096 55.862835,-2.962357 55.862931,-2.962818 55.863136,-2.962841 55.863148,-2.962927 55.863193,-2.963346 55.863443,-2.963514 55.863591,-2.963626 55.863748,-2.96395 55.864371,-2.964061 55.864585,-2.964094 55.86465,-2.964182 55.864789,-2.964328 55.864951,-2.964747 55.865296,-2.964871 55.865394,-2.965003 55.865351,-2.965782 55.865105,-2.965869 55.865074,-2.966011 55.865216,-2.966184 55.865307,-2.966263 55.865369)",Roman Camp Way,"55.8653139","-2.96639970000001",8957.1,608.9,Mobile,Humbie,"55.854323","-2.86743999999999",Week 1 Friday
"LINESTRING (-2.966263 55.865369,-2.966184 55.865307,-2.966011 55.865216,-2.965869 55.865074,-2.965782 55.865105,-2.965003 55.865351,-2.964871 55.865394,-2.964948 55.865457,-2.965761 55.866116,-2.965823 55.866166,-2.965986 55.866296,-2.966157 55.866434,-2.966514 55.866721,-2.966904 55.867035,-2.966934 55.867057,-2.967093 55.867184,-2.967206 55.867266,-2.967392 55.867394,-2.967713 55.867156,-2.967787 55.867091,-2.967893 55.867006,-2.968082 55.867081,-2.969452 55.867669,-2.969373 55.867731)",Chapel,"55.8678313","-2.96962629999996",569.7,93.1,Mobile,Roman Camp Way,"55.8653139","-2.96639970000001",Week 1 Friday
"LINESTRING (-2.969373 55.867731,-2.969452 55.867669,-2.968082 55.867081,-2.967893 55.867006,-2.967787 55.867091,-2.967713 55.867156,-2.967392 55.867394,-2.967497 55.867459,-2.967669 55.867558,-2.967837 55.867647,-2.967978 55.867721,-2.968737 55.868084,-2.968795 55.868111,-2.968842 55.868133,-2.968944 55.868179,-2.969211 55.86829,-2.969397 55.868366,-2.969552 55.868424,-2.969641 55.868451,-2.969791 55.868496,-2.970278 55.868581,-2.97057 55.868616,-2.970786 55.868637,-2.971155 55.868683,-2.971265 55.868697,-2.97151 55.868733,-2.971548 55.8687,-2.971579 55.868671,-2.971557 55.868642,-2.971592 55.868498,-2.972113 55.867842,-2.972886 55.866811,-2.9732 55.866422,-2.972187 55.8662,-2.97086 55.865862,-2.970119 55.865706,-2.969329 55.865723,-2.969254 55.865801,-2.969179 55.866313)",Crichton Terrace,"55.8663004","-2.96891700000003",1092.9,184.8,Mobile,Chapel,"55.8678313","-2.96962629999996",Week 1 Friday
"LINESTRING (-3.182879 55.869444,-3.182792 55.869339,-3.182711 55.869279,-3.182609 55.86926,-3.182508 55.869263,-3.182295 55.869307,-3.182209 55.869135)","Near Post Office, Castlelaw Crescent, Bilston","55.8691536","-3.18209100000001",68.3,16.4,Mobile,Bilston Nursery,"55.8695055","-3.18264420000003",Week 1 Monday
"LINESTRING (-3.182209 55.869135,-3.182295 55.869307,-3.182084 55.869362,-3.181596 55.869485,-3.181957 55.869937,-3.181982 55.870052,-3.18195 55.870151,-3.181836 55.870274,-3.181804 55.870374,-3.181827 55.87049,-3.181907 55.8706,-3.18238 55.871295,-3.183366 55.87107,-3.183713 55.870991,-3.183853 55.870959,-3.184898 55.870718,-3.185528 55.870571,-3.186341 55.87035,-3.187044 55.870129,-3.188888 55.869428,-3.189597 55.869159,-3.189746 55.869102,-3.189908 55.86904,-3.190217 55.868977,-3.190628 55.868888,-3.191038 55.868822,-3.191325 55.868789,-3.192443 55.868686,-3.192927 55.868623,-3.193543 55.868476,-3.194067 55.868326,-3.194501 55.868211,-3.194893 55.868155,-3.195458 55.868114,-3.196318 55.868062,-3.197539 55.867897,-3.197767 55.867833,-3.197933 55.867737,-3.198565 55.867169,-3.198715 55.866991,-3.198643 55.866963,-3.198569 55.866874,-3.198571 55.866858,-3.198575 55.866824,-3.198611 55.866779,-3.198662 55.866747,-3.198727 55.866725,-3.1988 55.866715,-3.198876 55.866716,-3.199015 55.866759,-3.199033 55.866773,-3.199183 55.866574,-3.199494 55.866277,-3.199686 55.866106,-3.200018 55.865836,-3.200502 55.865342,-3.200598 55.86525,-3.200881 55.864965,-3.201193 55.86466,-3.201395 55.864463,-3.20145 55.864375,-3.201638 55.86382,-3.201724 55.863726,-3.201914 55.86355,-3.20215 55.863373,-3.202703 55.86299,-3.203254 55.862611,-3.203422 55.862446,-3.203494 55.862329,-3.203537 55.862278,-3.203887 55.862352,-3.204581 55.862516,-3.204973 55.862694,-3.205713 55.863029,-3.206174 55.863257,-3.210036 55.865033,-3.210841 55.865184,-3.211471 55.865342,-3.212627 55.865864,-3.212747 55.865603,-3.212967 55.865255,-3.213115 55.864819,-3.213196 55.864316,-3.213211 55.86386,-3.213249 55.86326,-3.213264 55.863031,-3.213321 55.862534,-3.213419 55.862276,-3.213622 55.862005,-3.214096 55.861504,-3.214689 55.861007,-3.215144 55.860681,-3.215455 55.860588,-3.216158 55.860452,-3.21648 55.860349,-3.21671 55.860249,-3.216955 55.860111,-3.217149 55.859951,-3.217346 55.859698,-3.21753 55.859471,-3.217963 55.85886,-3.218136 55.858618,-3.21847 55.85822,-3.218749 55.857896,-3.218924 55.857744,-3.219123 55.857611,-3.220369 55.856975,-3.22169 55.856392,-3.222754 55.85586,-3.223121 55.855587,-3.223364 55.855362,-3.223502 55.855229,-3.223714 55.855024,-3.224265 55.854411,-3.224489 55.854169,-3.224881 55.853755,-3.225943 55.85258,-3.226144 55.852367,-3.226305 55.852195,-3.226814 55.851698,-3.227037 55.851529,-3.22739 55.851302,-3.227828 55.851042,-3.228589 55.850708,-3.22954 55.850318,-3.23007 55.850068,-3.230359 55.84991,-3.230644 55.84973,-3.230564 55.84968,-3.230525 55.849615,-3.230536 55.849547,-3.230593 55.849487,-3.230674 55.84945,-3.230773 55.84943,-3.230878 55.84943,-3.230977 55.849452,-3.231056 55.84949,-3.231327 55.8493,-3.231561 55.849132,-3.231696 55.849035,-3.23306 55.848052,-3.233934 55.847461,-3.234663 55.847019,-3.236153 55.846215,-3.236841 55.84589,-3.237401 55.84568,-3.237842 55.845432,-3.238135 55.845139,-3.239573 55.843486,-3.240006 55.84294,-3.240173 55.842804,-3.240367 55.842682,-3.240605 55.842573,-3.240849 55.842491,-3.24172 55.842261,-3.242094 55.84212,-3.250082 55.839123,-3.255103 55.837039,-3.255753 55.83674,-3.262062 55.833856,-3.268048 55.831056,-3.268496 55.830863,-3.268962 55.83066,-3.269424 55.830474,-3.269991 55.830304,-3.270678 55.83014,-3.271193 55.829979,-3.271599 55.829788,-3.272158 55.829468,-3.273002 55.829084,-3.273474 55.828882,-3.272992 55.828649,-3.272415 55.828413,-3.272329 55.828377)",Outside Silverburn Hall,"55.828285","-3.27245019999998",8686.6,663.6,Mobile,"Near Post Office, Castlelaw Crescent, Bilston","55.8691536","-3.18209100000001",Week 1 Monday
"LINESTRING (-3.272329 55.828377,-3.272415 55.828413,-3.272992 55.828649,-3.273474 55.828882,-3.273948 55.828642,-3.273965 55.828632,-3.274759 55.82819,-3.275393 55.82784,-3.278605 55.826047,-3.282087 55.823953,-3.282396 55.823692,-3.282781 55.823228,-3.283205 55.822462,-3.283552 55.82201,-3.284303 55.821421,-3.284711 55.821188,-3.28531 55.820887,-3.286205 55.820598,-3.287644 55.82021,-3.288255 55.819948,-3.288405 55.819868,-3.288961 55.81957,-3.289121 55.819478,-3.289286 55.819365,-3.289699 55.819129,-3.289851 55.819031,-3.299249 55.81298,-3.300178 55.812378,-3.301046 55.81178,-3.301783 55.811182,-3.302229 55.810723,-3.302722 55.810265,-3.303039 55.80999,-3.304082 55.809331,-3.304258 55.809401,-3.304316 55.809458,-3.304419 55.809528,-3.304616 55.809595,-3.304789 55.809625,-3.305224 55.809596,-3.305338 55.809632,-3.30576 55.809828,-3.30579 55.809852)",Nine Mile Burn,"55.809141","-3.30757199999994",3147.4,195.8,Mobile,Outside Silverburn Hall,"55.828285","-3.27245019999998",Week 1 Monday
"LINESTRING (-3.30579 55.809852,-3.30576 55.809828,-3.305338 55.809632,-3.305224 55.809596,-3.304789 55.809625,-3.304616 55.809595,-3.304419 55.809528,-3.304316 55.809458,-3.304258 55.809401,-3.304082 55.809331,-3.303039 55.80999,-3.302854 55.809981,-3.302359 55.810124,-3.298571 55.811004,-3.297747 55.811187,-3.296963 55.811361,-3.28749 55.81354,-3.286186 55.813863,-3.284185 55.814484,-3.283441 55.814762,-3.282262 55.815255,-3.279304 55.816565,-3.277103 55.817493,-3.275515 55.818215,-3.275099 55.818381,-3.274452 55.818675,-3.273929 55.818882,-3.273796 55.818954,-3.272881 55.819341,-3.272844 55.81937,-3.271488 55.819967,-3.270563 55.820353,-3.269976 55.820626,-3.267535 55.821672,-3.267396 55.821747,-3.265542 55.822526,-3.264168 55.823147,-3.261516 55.824333,-3.260664 55.824662,-3.25986 55.824998,-3.259257 55.825203,-3.258744 55.825351,-3.258034 55.825517,-3.254143 55.82633,-3.253959 55.826356,-3.253536 55.82639,-3.247976 55.826418,-3.247363 55.826411,-3.24686 55.826386,-3.243925 55.826072,-3.243605 55.826061,-3.243159 55.826085,-3.242174 55.826246,-3.241825 55.826336,-3.24156 55.826435,-3.241058 55.826657,-3.24084 55.826786,-3.24053 55.827006,-3.240027 55.827278,-3.239714 55.827401,-3.239377 55.827505,-3.238963 55.827602,-3.238476 55.827691,-3.237103 55.827874,-3.236308 55.828014,-3.23542 55.828221,-3.234434 55.82848,-3.23402 55.828575,-3.233378 55.828685,-3.232736 55.828759,-3.232454 55.828774,-3.231831 55.828812,-3.231246 55.828957,-3.230824 55.829164,-3.230738 55.829206,-3.230611 55.82916,-3.228019 55.828398,-3.227594 55.828269,-3.2274 55.828197,-3.227368 55.828177,-3.227113 55.828056,-3.226798 55.82783,-3.226561 55.827621,-3.226027 55.827168,-3.225786 55.826963,-3.225617 55.826819,-3.224545 55.825947,-3.224434 55.825856,-3.22431 55.82576,-3.2242 55.825689,-3.224066 55.825639,-3.223832 55.825599,-3.223595 55.825611,-3.22305 55.825707,-3.222261 55.825974,-3.22222 55.826021,-3.222117 55.826066,-3.221595 55.826267,-3.22126 55.826387,-3.221075 55.826458,-3.220536 55.826653,-3.220305 55.826774,-3.220094 55.826967,-3.22002 55.827105,-3.220003 55.827235,-3.219718 55.827246,-3.218915 55.827625,-3.218842 55.82766,-3.218264 55.827915,-3.217937 55.828074,-3.217772 55.828204,-3.217667 55.828323,-3.217466 55.828544,-3.217289 55.82866,-3.21691 55.82885,-3.216526 55.828975,-3.21631 55.82902,-3.216044 55.829052,-3.215741 55.829071,-3.215325 55.829071,-3.214571 55.829027,-3.214207 55.828993,-3.213975 55.828989,-3.213702 55.829013,-3.213474 55.829069,-3.213299 55.829138,-3.213168 55.829206,-3.212972 55.829346,-3.212559 55.829763,-3.212378 55.829874,-3.212135 55.829982,-3.211789 55.830078,-3.211413 55.830155,-3.210998 55.830239,-3.210557 55.830288,-3.210055 55.830296,-3.209892 55.830336,-3.209761 55.830393,-3.209159 55.830919,-3.208713 55.83127,-3.208483 55.831528,-3.208067 55.832001,-3.207998 55.832041,-3.207923 55.832061,-3.20783 55.832054,-3.207689 55.832029,-3.207333 55.831972,-3.20725 55.831964,-3.2071 55.832226,-3.207029 55.832373,-3.20687 55.832573,-3.206597 55.832844,-3.206496 55.832906,-3.206243 55.833016,-3.205573 55.833241,-3.204513 55.833539,-3.204321 55.833615,-3.20333 55.834247,-3.202674 55.834497,-3.202434 55.834561,-3.201514 55.834752,-3.200512 55.834956,-3.200751 55.834153,-3.201093 55.833693,-3.201186 55.833502,-3.201252 55.833291,-3.201512 55.831843,-3.201624 55.831215,-3.201841 55.830601,-3.201942 55.830354,-3.201961 55.830147,-3.201742 55.829546,-3.201722 55.829354)",Layby on Main Road Through Loanstone,"55.8293648","-3.20140309999999",8539.2,669.1,Mobile,Nine Mile Burn,"55.809141","-3.30757199999994",Week 1 Monday
