organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Norfolk,EDE,EDE406,Stoke Ferry,Rest Break,"Rest Break, Stoke Ferry",,0.504741970681354,52.57533545900235,Thursday,13:25,14:25,FREQ=WEEKLY;INTERVAL=4,2019-08-29,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-406.pdf
Norfolk,CEN2,CEN222,Necton,Ketts Hill,"Ketts Hill, Necton",,0.7844988128494647,52.65193333359161,Tuesday,10:35,10:50,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-222.pdf
Norfolk,EDE,EDE208,Beachamwell,Old Post Office,"Old Post Office, Beachamwell",,0.5839909201704563,52.61800893039378,Tuesday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-208.pdf
Norfolk,EDE,EDE307,North Runcton,The Green,"The Green, North Runcton",,0.43469782192852946,52.714860718287156,Wednesday,10:05,10:20,FREQ=WEEKLY;INTERVAL=4,2019-09-04,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-307.pdf
Norfolk,DER,DER402,Ringstead,Docking Road,"Docking Road, Ringstead",,0.5452246612486166,52.93128707485227,Thursday,09:45,10:05,FREQ=WEEKLY;INTERVAL=4,2019-08-29,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-402.pdf
Norfolk,DER,DER502,Clenchwarton,Coronation Road,"Coronation Road, Clenchwarton",,0.3739230165458546,52.75587342152203,Friday,09:40,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-30,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-502.pdf
Norfolk,EDE,EDE207,West Raynham,Bus Shelter,"Bus Shelter, West Raynham",,0.7761807481246132,52.79280857620726,Tuesday,09:50,10:05,FREQ=WEEKLY;INTERVAL=4,2019-09-03,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-207.pdf
Norfolk,EDE,EDE408,Hillington,Pasture Close,"Pasture Close, Hillington",,0.547287347605258,52.799096982967846,Thursday,09:50,10:05,FREQ=WEEKLY;INTERVAL=4,2019-08-15,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-408.pdf
Norfolk,DOW,DOW203,Terrington St Clement,Hunters Close (No12),"Hunters Close (No12), Terrington St Clement",,0.31985225094786496,52.76162837203715,Tuesday,09:40,10:00,FREQ=WEEKLY;INTERVAL=4,2019-09-03,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-203.pdf
Norfolk,DER,DER401,Wolferton,Church,"Church, Wolferton",,0.4591225369804293,52.82571230628935,Thursday,09:30,09:40,FREQ=WEEKLY;INTERVAL=4,2019-08-22,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-401.pdf
Norfolk,DOW,DOW504,Walsoken,Letchworth House (Burrettgate),"Letchworth House (Burrettgate), Walsoken",,0.18717665263475916,52.663948250096354,Friday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-08-16,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-504.pdf
Norfolk,EDE,EDE305,Stanfield,Cherry Tree Farm,"Cherry Tree Farm, Stanfield",,0.8650753342104163,52.74911171357722,Wednesday,09:40,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-21,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-305.pdf
Norfolk,DOW,DOW303,Tilney All Saints,School Road Post Box,"School Road Post Box, Tilney All Saints",,0.31150727233709474,52.728045534190144,Wednesday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-09-04,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-303.pdf
Norfolk,DOW,DOW404,Feltwell,Feltwell Lodge Res Home,"Feltwell Lodge Res Home, Feltwell",,0.5703446183644726,52.49725055365963,Thursday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-08-15,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-404.pdf
Norfolk,EDE,EDE105,Sporle,Elephants & Castles Nursery,"Elephants & Castles Nursery, Sporle",,0.7299105874631377,52.67737631671325,Monday,13:30,13:50,FREQ=WEEKLY;INTERVAL=4,2019-08-19,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-105.pdf
Norfolk,EDE,EDE205,Drymere,Telephone Kiosk,"Telephone Kiosk, Drymere",,0.6320659031609217,52.625609575739595,Tuesday,09:45,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-205.pdf
Norfolk,DOW,DOW304,"Welney, Fern House","Fern House, Hale Road","Fern House, Hale Road, Welney, Fern House",,0.25077888013728367,52.52934585356647,Wednesday,09:40,10:00,FREQ=WEEKLY;INTERVAL=4,2019-08-14,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-304.pdf
Norfolk,DOW,DOW503,Wimbotsham,Southside (No2),"Southside (No2), Wimbotsham",,0.3884542054546269,52.6210178916806,Friday,09:20,09:35,FREQ=WEEKLY;INTERVAL=4,2019-09-06,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-503.pdf
Norfolk,DOW,DOW403,Stowbridge,Ward'S Chase,"Ward'S Chase, Stowbridge",,0.3553636094819734,52.63157185688387,Thursday,10:35,10:50,FREQ=WEEKLY;INTERVAL=4,2019-09-05,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-403.pdf
Norfolk,EDE,EDE406,Stoke Ferry,The Bluebell,"The Bluebell, Stoke Ferry",,0.5100445692034934,52.573334742074664,Thursday,10:10,10:30,FREQ=WEEKLY;INTERVAL=4,2019-08-29,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-406.pdf
Norfolk,DER,DER501,Shernborne,Hall Road,"Hall Road, Shernborne",,0.5430218015159304,52.86121530988913,Friday,09:55,10:10,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-501.pdf
Norfolk,DER,DER202,Wigg St Germans,Allen Close,"Allen Close, Wigg St Germans",,0.3539239576394616,52.70023536928585,Tuesday,09:30,09:45,FREQ=WEEKLY;INTERVAL=4,2019-08-27,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-202.pdf
Norfolk,DOW,DOW204,Outwell,Beaupre Ave,"Beaupre Ave, Outwell",,0.23300510101488534,52.61689394290964,Tuesday,09:35,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-13,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DOW-204.pdf
Norfolk,EDE,EDE206,Westacre,Council Bungalows,"Council Bungalows, Westacre",,0.6317967770843774,52.70552171243063,Tuesday,09:55,10:15,FREQ=WEEKLY;INTERVAL=4,2019-08-27,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-206.pdf
Norfolk,DER,DER302,North Wootton,Heather Close,"Heather Close, North Wootton",,0.4440372179877443,52.7920708410421,Wednesday,09:25,09:40,FREQ=WEEKLY;INTERVAL=4,2019-08-28,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-302.pdf
Norfolk,EDE,EDE306,Burnham Overy Staith,38 New Road,"38 New Road, Burnham Overy Staith",,0.7433655170287256,52.96177386380171,Wednesday,10:05,10:15,FREQ=WEEKLY;INTERVAL=4,2019-08-28,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-306.pdf
Norfolk,DER,DER301,Sedgeford/Snettis,Sedgeford Memorial,"Sedgeford Memorial, Sedgeford/Snettis",,0.545170727702998,52.89917816941476,Wednesday,09:20,09:30,FREQ=WEEKLY;INTERVAL=4,2019-08-21,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/DER-301.pdf
Norfolk,CEN3,CEN515,Hardwick,Mill Road,"Mill Road, Hardwick",,1.2672588047236648,52.45773939331188,Friday,10:00,10:15,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN3-515.pdf
Norfolk,NWA,NWA409,Suffield,Old Blacksmiths Shop,"Old Blacksmiths Shop, Suffield",,1.3122892730396496,52.84644990100265,Thursday,10:00,10:15,FREQ=WEEKLY;INTERVAL=4,2019-08-22,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-409.pdf
Norfolk,EDE,EDE308,Dereham,Eckling Grange,"Eckling Grange, Dereham",,0.9671196792679626,52.679666120058876,Wednesday,09:20,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-14,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-308.pdf
Norfolk,CEN1,CEN117,Shelfanger,Village Seat,"Village Seat, Shelfanger",,1.0969142963640863,52.413050535098556,Monday,14:20,14:35,FREQ=WEEKLY;INTERVAL=4,2019-08-12,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-117.pdf
Norfolk,NWA,NWA210,Sutton,Laxfield Close,"Laxfield Close, Sutton",,1.5314596406110081,52.759861199102914,Tuesday,10:00,10:10,FREQ=WEEKLY;INTERVAL=4,2019-08-27,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-210.pdf
Norfolk,CEN2,CEN314,Honingham,Fellowes Road,"Fellowes Road, Honingham",,1.108356605284793,52.66029599630756,Wednesday,09:40,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-21,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-314.pdf
Norfolk,CEN1,CEN213,Kimberley,Station Layby,"Station Layby, Kimberley",,1.0513675750946656,52.59107321837143,Tuesday,09:45,09:55,FREQ=WEEKLY;INTERVAL=4,2019-08-20,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-213.pdf
Norfolk,CEN1,CEN413,Bowthorpe,Beloe Ave - Seabrook Court,"Beloe Ave - Seabrook Court, Bowthorpe",,1.2249443668178648,52.63768852669074,Thursday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-08-22,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-413.pdf
Norfolk,CEN1,CEN418,Eaton,Waitrose Car Park,"Waitrose Car Park, Eaton",,1.250280638486711,52.60755904714208,Thursday,09:40,12:30,FREQ=WEEKLY;INTERVAL=4,2019-09-05,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-418.pdf
Norfolk,EDE,EDE507,Guist,Post Office,"Post Office, Guist",,0.963231727667262,52.79039484570139,Friday,10:15,10:35,FREQ=WEEKLY;INTERVAL=4,2019-09-06,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/EDE-507.pdf
Norfolk,CEN1,CEN513,Earsham,Dukes Way,"Dukes Way, Earsham",,1.4147137997931136,52.45013408508591,Friday,09:50,10:05,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-513.pdf
Norfolk,NWA,NWA509,Somerton,Ivy House,"Ivy House, Somerton",,1.6463946558690057,52.70400392218887,Friday,10:00,10:15,FREQ=WEEKLY;INTERVAL=4,2019-08-23,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-509.pdf
Norfolk,CEN1,CEN315,Bradwell,Curlew Way Opp Raven Close,"Curlew Way Opp Raven Close, Bradwell",,1.7072678834623205,52.584703725352625,Wednesday,09:50,10:05,FREQ=WEEKLY;INTERVAL=4,2019-08-28,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-315.pdf
Norfolk,CEN1,CEN218,Gt Plumstead,Old School - Village Hall Car Park,"Old School - Village Hall Car Park, Gt Plumstead",,1.3991382694521208,52.63992838635812,Tuesday,09:35,10:25,FREQ=WEEKLY;INTERVAL=4,2019-09-03,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN1-218.pdf
Norfolk,CEN2,CEN414,North Lopham,School Canteen,"School Canteen, North Lopham",,0.9941158000213975,52.403595644341785,Thursday,11:15,11:30,FREQ=WEEKLY;INTERVAL=4,2019-08-22,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/CEN2-414.pdf
Norfolk,NWA,NWA410,Upper Sheringham,Church,"Church, Upper Sheringham",,1.188689308400857,52.93153227457164,Thursday,09:45,10:00,FREQ=WEEKLY;INTERVAL=4,2019-08-29,,https://www.norfolk.gov.uk/-/media/norfolk/downloads/libraries-and-local-history/mobile-library-timetables/NWA-410.pdf
