organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
North Lincolnshire,Mobile,Route 14,Wroot,Eastfield Farm,Eastfield Farm,,-0.916878219835873,53.51922339824954,Thursday,Public,12:40,12:50,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Wroot,Sand Lane,Sand Lane,,-0.933021084964471,53.52364211076482,Thursday,Public,12:20,12:35,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Wroot,Brook Terrace,Brook Terrace,,-0.926735503593019,53.52313063504547,Thursday,Public,11:55,12:15,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Wroot,Wroot School,Wroot School,,-0.922870581577716,53.51825867437028,Thursday,Public,11:20,11:50,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Belton,Epworth Road Junction,Epworth Road Junction,,-0.783398804267599,53.5513459936527,Thursday,Public,10:30,10:55,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Manton,Manor Farm Cottages,Manor Farm Cottages,,-0.595146590758323,53.51307757276947,Monday,Public,11:45,12:05,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Hibaldstow,Church Street,Church Street,,-0.526711352984475,53.51045450274314,Monday,Public,10:55,11:30,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Hibaldstow,"Station Road, Village Hall","Station Road, Village Hall",,-0.52985485789363,53.51525011299117,Monday,Public,10:30,10:50,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Redbourne,Redbourne,Redbourne,,-0.536715115923448,53.48677109115338,Monday,Public,12:50,13:10,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Scawby,Ermine Street,Ermine Street,,-0.556386104654415,53.53639115654294,Monday,Public,10:00,10:20,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Holme,"Holme Lane, Mendle Farm","Holme Lane, Mendle Farm",,-0.604162562430312,53.55248441742291,Monday,Public,09:30,09:50,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Redbourne,Carr Lane,Carr Lane,,-0.533248562154716,53.48957160863243,Monday,Public,13:15,13:35,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 21,Hibaldstow,Manton Lane,Manton Lane,,-0.533355564151253,53.517077183204236,Monday,Public,15:45,16:05,FREQ=WEEKLY;INTERVAL=3,2019-01-28,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,West Butterwick,Parklands,Parklands,,-0.748333457011961,53.54236229125225,Thursday,Public,16:05,16:25,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Owston Ferry,Market Place,Market Place,,-0.776387944009095,53.49053471203114,Thursday,Public,15:30,15:50,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Owston Ferry,Church Street,Church Street,,-0.782605580006407,53.49334206174506,Thursday,Public,14:55,15:25,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Owston Ferry,Gunthorpe,Gunthorpe,,-0.785851461897111,53.46334190342428,Thursday,Public,14:20,14:40,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 14,Haxey,East Lound,East Lound,,-0.818279993594114,53.48879186534093,Thursday,Public,13:45,14:05,FREQ=WEEKLY;INTERVAL=3,2019-01-24,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 15,North Killingholme,North Killingholme,North Killingholme,,-0.270318320835893,53.63962990198059,Friday,Public,12:10,12:35,FREQ=WEEKLY;INTERVAL=3,2019-01-25,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 16,Haxey,Commonside,Commonside,,-0.869882910648351,53.48788366870134,Saturday,Public,10:25,11:15,FREQ=WEEKLY;INTERVAL=3,2019-01-26,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 16,Haxey,"Village Hall, Westwoodside","Village Hall, Westwoodside",,-0.865252778746945,53.48626970775258,Saturday,Public,09:40,10:20,FREQ=WEEKLY;INTERVAL=3,2019-01-26,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 23,Saxby All Saints,Main Street,Main Street,,-0.504319914566301,53.63991346852762,Wednesday,Public,15:00,15:35,FREQ=WEEKLY;INTERVAL=3,2019-01-09,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
North Lincolnshire,Mobile,Route 23,Bonby,Bonby,Bonby,,-0.482168527751417,53.621352849398484,Wednesday,Public,14:35,14:55,FREQ=WEEKLY;INTERVAL=3,2019-01-09,,,https://www.northlincs.gov.uk/schools-libraries-and-learning/libraries/the-mobile-library/
