organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
North Somerset,Mobile 1,Monday 1,Claverham,Chestnut Drive,"Chestnut Drive, Claverham",,-2.79727147606992,51.39230486749062,Monday,11:10,11:30,FREQ=WEEKLY;INTERVAL=2,2019-01-07,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Monday 1,Wrington,Broad Street,"Broad Street, Wrington",,-2.7645033304039806,51.36195289554923,Monday,11:45,12:45,FREQ=WEEKLY;INTERVAL=2,2019-01-07,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Monday 1,Backwell,Rodney Road Car Park,"Rodney Road Car Park, Backwell",,-2.742051801548741,51.41303629667095,Monday,14:15,16:15,FREQ=WEEKLY;INTERVAL=2,2019-01-07,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Tuesday 1,Bleadon,Church,"Church, Bleadon",,-2.9467105550657102,51.30755256285519,Tuesday,10:20,11:20,FREQ=WEEKLY;INTERVAL=2,2019-01-08,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Tuesday 1,Uphill,Uphill Way Car Park,"Uphill Way Car Park, Uphill",,-2.982405055077424,51.32127926227595,Tuesday,11:30,12:30,FREQ=WEEKLY;INTERVAL=2,2019-01-08,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Tuesday 1,Long Ashton,Community Centre,"Community Centre, Long Ashton",,-2.667455235631788,51.43035821249959,Tuesday,14:30,16:30,FREQ=WEEKLY;INTERVAL=2,2019-01-08,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Wednesday 1,Winford,Bus stop,"Bus stop, Winford",,-2.6630458508099006,51.38372329695196,Wednesday,11:35,12:20,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Wednesday 1,Redhill,Village Hall,"Village Hall, Redhill",,-2.7237806018654025,51.36621796433405,Wednesday,12:35,12:55,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Wednesday 1,Wrington,Broad Street,"Broad Street, Wrington",,-2.7645033304039806,51.36195289554923,Wednesday,14:00,16:30,FREQ=WEEKLY;INTERVAL=2,2019-01-09,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Almondsbury,The Bowl Inn,"The Bowl Inn, Almondsbury",,-2.572722464295514,51.55469149656738,Thursday,9:40,10:00,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Easter Compton,Fox Pub,"Fox Pub, Easter Compton",,-2.6186119081746795,51.53933473651239,Thursday,10:15,10:30,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Hallen,Hi Ways caravan park,"Hi Ways caravan park, Hallen",,-2.652311284618758,51.51532453366387,Thursday,10:45,11:05,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Severn Beach,Abbot Road,"Abbot Road, Severn Beach",,-2.6598849129391082,51.55572612049904,Thursday,11:20,11:40,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Severn Beach,Salthouse Farm,"Salthouse Farm, Severn Beach",,-2.6639110380227082,51.566744971548395,Thursday,11:50,12:10,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Pilning,Cross Hands,"Cross Hands, Pilning",,-2.639307651578685,51.562304962283804,Thursday,12:20,12:40,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Thursday 1,Banwell,Car Park,"Car Park, Banwell",,-2.8667859412474757,51.32891344113032,Thursday,14:40,16:30,FREQ=WEEKLY;INTERVAL=2,2019-01-10,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Friday 1,Long Ashton,Community Centre,"Community Centre, Long Ashton",,-2.667455235631788,51.43035821249959,Friday,9:30,11:30,FREQ=WEEKLY;INTERVAL=2,2019-01-11,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Friday 1,Failand,Woodland Way,"Woodland Way, Failand",,-2.693155145353266,51.440784583456455,Friday,11:45,12:15,FREQ=WEEKLY;INTERVAL=2,2019-01-11,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Friday 1,Leigh Woods,Vicarage Road,"Vicarage Road, Leigh Woods",,-2.6361279704521023,51.45337506598021,Friday,13:30,13:50,FREQ=WEEKLY;INTERVAL=2,2019-01-11,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Friday 1,Abbots Leigh,Church Road (by village hall),"Church Road (by village hall), Abbots Leigh",,-2.657103558439397,51.462983646336106,Friday,14:00,15:00,FREQ=WEEKLY;INTERVAL=2,2019-01-11,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Friday 1,Portbury,Priory Estate,"Priory Estate, Portbury",,-2.7234921068110616,51.475636930300624,Friday,15:10,16:00,FREQ=WEEKLY;INTERVAL=2,2019-01-11,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Monday 2,Cleeve,Woodview,"Woodview, Cleeve",,-2.784748204260676,51.387465296050394,Monday,11:10,11:30,FREQ=WEEKLY;INTERVAL=2,2019-01-14,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Monday 2,Wrington,Broad Street,"Broad Street, Wrington",,-2.7645033304039806,51.36195289554923,Monday,11:45,12:45,FREQ=WEEKLY;INTERVAL=2,2019-01-14,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Monday 2,Backwell,Rodney Road Car Park,"Rodney Road Car Park, Backwell",,-2.742051801548741,51.41303629667095,Monday,14:15,16:15,FREQ=WEEKLY;INTERVAL=2,2019-01-14,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
North Somerset,Mobile 1,Tuesday 2,Kingston Seymour,Village Hall,"Village Hall, Kingston Seymour",,-2.8630071687927527,51.39797262929276,Tuesday,11:10,12:40,FREQ=WEEKLY;INTERVAL=2,2019-01-15,,https://www.n-somerset.gov.uk/my-services/leisure/libraries/bringing-the-library-to-you/mobile-library/
