authority,code,website,email,domain
Aberdeen City,S12000033,,,
Aberdeenshire,S12000034,https://www.livelifeaberdeenshire.org.uk/libraries/local-libraries,,aberdeenshire.gov.uk
Anglesey,W06000001,http://www.anglesey.gov.uk/leisure/libraries/libraries-my-local-library/mobile-library-service,,anglesey.gov.uk
Angus,S12000041,https://www.angus.gov.uk/directories/libraries/mobile_library,,angus.gov.uk
Argyll and Bute,S12000035,http://www.liveargyll.co.uk/library/islay-mobile-library,,liveargyll.co.uk
Barking and Dagenham,E09000002,,,
Barnet,E09000003,https://www.barnet.gov.uk/citizen-home/libraries/mobile-library.html,,barnet.gov.uk
Barnsley,E08000016,,,
Bath and North East Somerset,E06000022,http://www.bathnes.gov.uk/services/libraries-and-archives/library-outreach-services-and-access-all/mobile-library,,bathnes.gov.uk
Bedford,E06000055,http://virtual-library.culturalservices.net/webingres/bedfordshire/vlib/0.beds_libraries/mobile_libraries.htm,,bedford.gov.uk
Bexley,E09000004,,,
Birmingham,E08000025,https://www.birmingham.gov.uk/mobile-library,,birmingham.gov.uk
Blackburn with Darwen,E06000008,,,
Blackpool,E06000009,,,
Blaenau Gwent,W06000019,,,
Bolton,E08000001,,,
Bournemouth,E06000028,,,
Bracknell Forest,E06000036,,,
Bradford,E08000032,,,
Brent,E09000005,,,
Bridgend,W06000013,http://www.awen-libraries.com/mobile-library,,awen-wales.com
Brighton and Hove,E06000043,,,
Bristol,E06000023,,,
Bromley,E09000006,,,
Buckinghamshire,E10000002,,,
Bury,E08000002,,,
Caerphilly,W06000018,,,
Calderdale,E08000033,,,
Cambridgeshire,E10000003,https://www.cambridgeshire.gov.uk/residents/libraries-leisure-&-culture/libraries/mobiles,,cambridgeshire.gov.uk
Camden,E09000007,,,
Cardiff,W06000015,https://www.cardiff.gov.uk/ENG/resident/Libraries-and-archives/Other-library-services/Pages/Other-Library-Services.aspx#anchor_6,,cardiff.gov.uk
Carmarthenshire,W06000010,https://www.carmarthenshire.gov.wales/home/council-services/libraries-archives/mobile-libraries,,carmarthenshire.gov.wales
Central Bedfordshire,E06000056,,,
Ceredigion,W06000008,http://libraries.ceredigion.gov.uk/iguana/www.main.cls?p=344a9a15-6c22-4dae-a0a5-09f9fd22308e&v=dab664d1-8ea2-46c7-99ce-f428dc758b19,,ceredigion.gov.uk
Cheshire East,E06000049,https://www.cheshireeast.gov.uk/libraries/nearest_library/mobile_library_routes.aspx,,cheshireeast.gov.uk
Cheshire West and Chester,E06000050,https://www.cheshirewestandchester.gov.uk/residents/libraries/find-a-library/mobile-library-service.aspx,,cheshirewestandchester.gov.uk
City of London,E09000001,,,
Clackmannanshire,S12000005,,,
Conwy,W06000003,http://www.conwy.gov.uk/en/Resident/Libraries-Museums-and-Archives/Libraries/Mobile-and-home-library-services.aspx,,conwy.gov.uk
Cornwall,E06000052,https://www.cornwall.gov.uk/leisure-and-culture/libraries/your-local-library/mobile-library-service,,cornwall.gov.uk
Coventry,E08000026,,,
Croydon,E09000008,,,
Cumbria,E10000006,,,
Darlington,E06000005,,,
Denbighshire,W06000004,,,
Derby City,E06000015,,,
Derbyshire,E10000007,https://www.derbyshire.gov.uk/leisure/libraries/services/mobile-libraries/mobile-libraries.aspx,,derbyshire.gov.uk
Devon,E10000008,https://www.devonlibraries.org.uk/web/arena/mobilelibraries,,librariesunlimited.org.uk
Doncaster,E08000017,,,
Dorset,E10000009,,,
Dudley,E08000027,,,
Dumfries and Galloway,S12000006,,,
Dundee City,S12000042,http://www.leisureandculturedundee.com/library/mobile,,leisureandculturedundee.com
Durham,E06000047,http://www.durham.gov.uk/mobilelibrary,,durham.gov.uk
Ealing,E09000009,,,
East Ayrshire,S12000008,https://eastayrshireleisure.com/index.php?a=landing&id=6&sid=64&mid=44,,east-ayrshire.gov.uk
East Dunbartonshire,S12000045,,,
East Lothian,S12000010,,,
East Renfrewshire,S12000011,,,
East Riding of Yorkshire,E06000011,https://www.eastriding.gov.uk/leisure/libraries/find-a-library/#mobile-libraries,,eastriding.gov.uk
East Sussex,E10000011,,,
Edinburgh,S12000036,http://www.edinburgh.gov.uk/directory/16/mobile_library_stops,,edinburgh.gov.uk
Enfield,E09000010,,,
Essex,E10000012,https://libraries.essex.gov.uk/mobile-library-service,,essex.gov.uk
Falkirk,S12000014,,,
Fife,S12000015,http://www.onfife.com/libraries-archives/mobile-home-delivery-services,,onfife.com
Flintshire,W06000005,https://aura.wales/libraries/mobile-library,,flintshire.gov.uk
Gateshead,E08000037,,,
Glasgow,S12000046,,,
Gloucestershire,E10000013,https://www.gloucestershire.gov.uk/libraries/find-a-library/mobile-library-service,,gloucestershire.gov.uk
Greenwich,E09000011,,,
