organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,type,arrival,departure,frequency,start,end,exceptions,timetable
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Culford,Village Hall,"Village Hall, Culford",,0.69812,52.31959,Tuesday,Public,11:00,11:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Culford,Glendale,"Glendale, Culford",,0.693698,52.295329,Tuesday,Public,11:35,11:55,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Fornham All Saints,Thingoe Lodge,"Thingoe Lodge, Fornham All Saints",,0.71171,52.25506,Tuesday,Public,12:35,12:55,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Fornham All Saints,Church,"Church, Fornham All Saints",,0.69068,52.27356,Tuesday,Public,13:00,13:20,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Fornham St Martin,Lark Valley Drive,"Lark Valley Drive, Fornham St Martin",,0.70752,52.27248,Tuesday,Public,12:00,12:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Great Barton,Oakhampton House,"Oakhampton House, Great Barton",,0.77,52.27093,Tuesday,Public,10:00,10:20,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Great Barton,School Road,"School Road, Great Barton",,0.77056,52.27382,Tuesday,Public,10:25,10:50,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Pakenham,Meadow View,"Meadow View, Pakenham",,0.82408,52.27088,Tuesday,Public,09:15,09:30,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Pakenham,Manor Garth,"Manor Garth, Pakenham",,0.81782,52.27194,Tuesday,Public,09:35,09:50,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
Suffolk,Bury St Edmunds,Bury St Edmunds Route 1,Risby,Village Hall,"Village Hall, Risby",,0.634437,52.265824,Tuesday,Public,14:10,14:40,FREQ=WEEKLY;INTERVAL=4,2020-03-03,,,https://www.suffolklibraries.co.uk/visit/mobile-libraries/bury-st-edmunds-mobile-library-route-1/
