organisation,mobile,route,community,stop,address,postcode,geox,geoy,day,arrival,departure,frequency,start,end,timetable
Warwickshire,Alcester,J,Alderminster,Old Road,"Old Road, Alderminster",,-1.664076,52.133936,Thursday,11:20,11:40,FREQ=WEEKLY;INTERVAL=3,2019-08-01,2019-12-05,https://apps.warwickshire.gov.uk/MobileLibraries/locations/85
Warwickshire,Alcester,C,Alveston,Ferry Inn,"Ferry Inn, Alveston",,-1.656638,52.20636,Wednesday,11:40,12:00,FREQ=WEEKLY;INTERVAL=3,2019-07-24,2019-12-18,https://apps.warwickshire.gov.uk/MobileLibraries/locations/101
Warwickshire,Bedworth,M,Ansley,Croft Mead,"Croft Mead, Ansley",,-1.557006,52.52002,Tuesday,13:35,14:05,FREQ=WEEKLY;INTERVAL=3,2019-08-06,2019-12-10,https://apps.warwickshire.gov.uk/MobileLibraries/locations/133
Warwickshire,Bedworth,M,Ansley,Ludford Close,"Ludford Close, Ansley",,-1.56166,52.521809,Tuesday,13:00,13:30,FREQ=WEEKLY;INTERVAL=3,2019-08-06,2019-12-10,https://apps.warwickshire.gov.uk/MobileLibraries/locations/132
Warwickshire,Alcester,O,Ardens Grafton,T Junction,"T Junction, Ardens Grafton",,-1.831726,52.187599,Thursday,11:35,11:55,FREQ=WEEKLY;INTERVAL=3,2019-07-18,2019-12-12,https://apps.warwickshire.gov.uk/MobileLibraries/locations/52
Warwickshire,Bedworth,P,Ash Green,Ash Green School,"Ash Green School, Ash Green",,-1.508947,52.460434,Friday,09:20,09:50,FREQ=WEEKLY;INTERVAL=3,2019-07-19,2019-12-13,https://apps.warwickshire.gov.uk/MobileLibraries/locations/123
Warwickshire,Alcester,J,Ashorne,Phone Box,"Phone Box, Ashorne",,-1.555662,52.217136,Thursday,15:50,16:10,FREQ=WEEKLY;INTERVAL=3,2019-08-01,2019-12-05,https://apps.warwickshire.gov.uk/MobileLibraries/locations/104
Warwickshire,Alcester,H,Aspley Heath,Aspley Heath Lane,"Aspley Heath Lane, Aspley Heath",,-1.856579,52.332924,Wednesday,09:30,09:50,FREQ=WEEKLY;INTERVAL=3,2019-07-31,2019-12-04,https://apps.warwickshire.gov.uk/MobileLibraries/locations/8
Warwickshire,Alcester,A,Aston Cantlow,Bearley Road,"Bearley Road, Aston Cantlow",,-1.809379,52.23737,Monday,14:00,14:30,FREQ=WEEKLY;INTERVAL=3,2019-07-22,2019-12-16,https://apps.warwickshire.gov.uk/MobileLibraries/locations/329
Warwickshire,Bedworth,J,Attleborough,Hall End Place,"Hall End Place, Attleborough",,-1.457838,52.513033,Thursday,10:05,10:25,FREQ=WEEKLY;INTERVAL=3,2019-08-01,2019-12-05,https://apps.warwickshire.gov.uk/MobileLibraries/locations/320
Warwickshire,Bedworth,M,Austrey,"""Bird in Hand"" (PH), Main Road","""Bird in Hand"" (PH), Main Road, Austrey",,-1.563394,52.653103,Tuesday,11:05,11:20,FREQ=WEEKLY;INTERVAL=3,2019-08-06,2019-12-10,https://apps.warwickshire.gov.uk/MobileLibraries/locations/142
Warwickshire,Bedworth,M,Austrey,Lay,"Lay, Austrey",,-1.566195,52.656835,Tuesday,10:20,10:50,FREQ=WEEKLY;INTERVAL=3,2019-08-06,2019-12-10,https://apps.warwickshire.gov.uk/MobileLibraries/locations/141
Warwickshire,Alcester,K,Avon Dassett,RC Church,"RC Church, Avon Dassett",,-1.401773,52.146852,Friday,15:05,15:25,FREQ=WEEKLY;INTERVAL=3,2019-08-02,2019-12-06,https://apps.warwickshire.gov.uk/MobileLibraries/locations/33
Warwickshire,Kenilworth,J,Baddesley Clinton,Rising Lane Layby,"Rising Lane Layby, Baddesley Clinton",,-1.695901,52.349782,Thursday,10:30,10:50,FREQ=WEEKLY;INTERVAL=3,2019-08-01,2019-12-05,https://apps.warwickshire.gov.uk/MobileLibraries/locations/59
Warwickshire,Kenilworth,C,Baginton,Holly Walk,"Holly Walk, Baginton",,-1.496454,52.372368,Wednesday,09:15,09:35,FREQ=WEEKLY;INTERVAL=3,2019-07-24,2019-12-18,https://apps.warwickshire.gov.uk/MobileLibraries/locations/40
Warwickshire,Kenilworth,E,Barford,Beehive Nursery,"Beehive Nursery, Barford",,-1.605353,52.245434,Friday,09:30,10:00,FREQ=WEEKLY;INTERVAL=3,2019-07-26,2019-12-20,https://apps.warwickshire.gov.uk/MobileLibraries/locations/103
Warwickshire,Alcester,O,Barton,The Malt House,"The Malt House, Barton",,-1.843411,52.159097,Thursday,12:10,12:25,FREQ=WEEKLY;INTERVAL=3,2019-07-18,2019-12-12,https://apps.warwickshire.gov.uk/MobileLibraries/locations/7
Warwickshire,Bedworth,D,Baxterley,The Orchard,"The Orchard, Baxterley",,-1.597594,52.571685,Thursday,11:35,12:05,FREQ=WEEKLY;INTERVAL=3,2019-07-25,2019-12-19,https://apps.warwickshire.gov.uk/MobileLibraries/locations/317
Warwickshire,Alcester,B,Bearley,Bearley Green,"Bearley Green, Bearley",,-1.734328,52.243196,Tuesday,10:10,10:30,FREQ=WEEKLY;INTERVAL=3,2019-07-23,2019-12-17,https://apps.warwickshire.gov.uk/MobileLibraries/locations/22
Warwickshire,Alcester,B,Bearley,Grange Road,"Grange Road, Bearley",,-1.735979,52.246293,Tuesday,09:20,09:40,FREQ=WEEKLY;INTERVAL=3,2019-07-23,2019-12-17,https://apps.warwickshire.gov.uk/MobileLibraries/locations/21
Warwickshire,Alcester,B,Bearley,Post Office,"Post Office, Bearley",,-1.740369,52.244486,Tuesday,09:45,10:05,FREQ=WEEKLY;INTERVAL=3,2019-07-23,2019-12-17,https://apps.warwickshire.gov.uk/MobileLibraries/locations/20
Warwickshire,Kenilworth,J,Beausale,Crossroads,"Crossroads, Beausale",,-1.647924,52.334959,Thursday,09:30,09:45,FREQ=WEEKLY;INTERVAL=3,2019-08-01,2019-12-05,https://apps.warwickshire.gov.uk/MobileLibraries/locations/61
Warwickshire,Bedworth,J,Bedworth,Pine Tree Road,"Pine Tree Road, Bedworth",,-1.463443,52.485021,Thursday,09:20,09:45,FREQ=WEEKLY;INTERVAL=3,2019-08-01,2019-12-05,https://apps.warwickshire.gov.uk/MobileLibraries/locations/319
Warwickshire,Bedworth,M,Bedworth,Richmond Bede Village,"Richmond Bede Village, Bedworth",,-1.51264,52.468549,Tuesday,15:00,16:00,FREQ=WEEKLY;INTERVAL=3,2019-08-06,2019-12-10,https://apps.warwickshire.gov.uk/MobileLibraries/locations/179
Warwickshire,Bedworth,A,Bedworth,St Michaels Children's Centre,"St Michaels Children's Centre, Bedworth",,-1.459375,52.482297,Monday,09:05,09:25,FREQ=WEEKLY;INTERVAL=3,2019-07-22,2019-12-16,https://apps.warwickshire.gov.uk/MobileLibraries/locations/262
Warwickshire,Bedworth,D,Bedworth Heath,Cardigan Road,"Cardigan Road, Bedworth Heath",,-1.515182,52.474222,Thursday,09:25,09:45,FREQ=WEEKLY;INTERVAL=3,2019-07-25,2019-12-19,https://apps.warwickshire.gov.uk/MobileLibraries/locations/314
Warwickshire,Bedworth,C,Bedworth Heath,Newdigate Colliery Club,"Newdigate Colliery Club, Bedworth Heath",,-1.502032,52.474555,Wednesday,10:35,11:00,FREQ=WEEKLY;INTERVAL=3,2019-07-24,2019-12-18,https://apps.warwickshire.gov.uk/MobileLibraries/locations/255
Warwickshire,Bedworth,C,Bedworth Heath,Smarts Road near Old Library,"Smarts Road near Old Library, Bedworth Heath",,-1.493048,52.471047,Wednesday,09:15,10:30,FREQ=WEEKLY;INTERVAL=3,2019-07-24,2019-12-18,https://apps.warwickshire.gov.uk/MobileLibraries/locations/258
